# M17 Hosts file generated by ./make-m17-host-file V#1.3.0
# Copyright (C) 2024-2026 by Thomas A. Early, N7TAE.
# See the LICENSE file in https://github.com/n7tae/dht-ham-tools.
# Created on 2026-04-04 at 17:11 GMT
# Copied https://hostfiles.refcheck.radio/M17Hosts.json
# WARNING: Reflectors without a version strings are not using the Ham-DHT and
# might have UNKNOWN capabilities and/or incorrect data.
# These are input by hand by the admin and might be INCORRECT.
# It is assumed that reflectors without a version string are version 0.x.y
# You can edit any of these values if you know what they are.
#
# An empty 'IPv4-address' or 'IPv6-address' means it's not configured.
# An empty 'Modules' means it can't be determined and it won't be added.
#
# 'Special-modules' for M17 reflectors will pass encrypted voice data.
# 'Special-modules' for URF reflectors are fully transcoded.
#
#Reflector;Version;Modules;Special-modules;IPv4-address;IPv6-address;Port;Dashboard-URL
M17-922;;ABCDEFG;;81.150.10.63;;17000;http://m17.ycs235.com
M17-983;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;45.76.228.241;2001:19f0:5c01:1fe3:5400:2ff:fef0:bfed;17000;https://M17-983.k8jtk.org/
M17-999;1.0.13-dht;ABCDEFGJIKLMNOPQRSTUVWXYZ;;94.177.173.53;;17000;https://m17-999.freedmr.it/
M17-9V1;0.11.8-dht;A;;139.162.27.103;2400:8901::f03c:95ff:fec1:dbd0;17000;http://139.162.27.103:3000/
M17-AP2;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;58.65.136.202;;17000;http://m17.pakhams.com:3000
M17-ASL;;ABCDEFGHIJZ;Z;44.134.32.13;;17000;https://m17asl.ddns.net/
M17-AUT;;ABCD;;195.26.215.3;;17000;https://m17-aut.xreflector.net/
M17-AWV;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;150.136.246.222;2603:c020:401a:557e::de1;17000;https://m17-awv.kc1awv.net
M17-BAT;;BCE;;44.31.102.133;;17000;http://aritrani.does-it.net/mref/index.php
M17-BEL;;ABCDEFGHWXYZ;;173.212.223.187;;17000;http://2061.adn.systems:3000
M17-BTT;0.12.0-dht;ABC;;82.85.236.36;;17000;
M17-BYG;;A;;192.210.141.213;;17000;http://m17.k0xm.net:3000
M17-CCV;0.12.0-dht;ABCDEFGHIJ;;122.222.1.50;;17000;http://ccv.owari.biz:3000
M17-CEL;;ADMNPSTUYZ;;85.215.198.111;;17000;http://85.215.198.111:8970
M17-CHI;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;ABCDEFGHIJKLMNOPQRSTUVWXYZ;212.237.33.114;;17000;http://m17ch-italia.ddns.net:17000/index.php
M17-CHN;;ABCD;;47.104.177.248;;17000;https://mmdvm.cc/m17/
M17-CQM;;BCX;;13.59.123.174;;17000;http://m17.wa8bro.com
M17-CZ0;0.12.0-dht;ABCDEFZ;;80.250.11.113;;17000;https://80.250.11.113:17001
M17-CZ1;;BCX;;77.104.239.131;;17000;http://mrefd.ham-radio.cz
M17-DMR;;ABCD;;81.136.218.49;;17000;https://m17.freestar.network
M17-EOH;0.12.0-dht;BCX;;155.138.214.16;2001:19f0:5401:25c9:5400:4ff:feb8:f471;17000;http://29999.link/m17
M17-FOG;0.12.0-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;95.179.203.54;2a05:f480:1000:ec4:5400:2ff:fee6:f0;17000;http://m17.ham-radio-fog.org:3000
M17-FR2;1.0.13-dht;A;;51.75.127.224;2001:41d0:305:2100::7c67;17000;https://51.75.127.224
M17-FVG;1.0.13-dht;ABCDEFGJIKLMNOPQRSTUVXYZ;;44.31.102.45;;17000;https://m17.arifvg.it
M17-IGX;;E;;62.84.190.249;;17017;http://aritrani.does-it.net:4000/
M17-IP6;1.0.13-dht;ABCDEFGHIJKLMNOPQRSTUVXYZ;S;;2401:c080:2000:2c78:5400:4ff:fe51:7afe;17000;
M17-IS0;;H;H;51.254.206.201;2001:41d0:302:2200::3f43;17000;https://m17.is0.org/
M17-ITA;1.0.13-dht;ABCDEFGJIKLMNOPQRSTUVXYZ;;44.31.102.131;2a00:6d40:72:6dd8::1;17000;https://m17ita.hblink.it
M17-JET;1.1.1-dht;ABCDEFGHIJ;;5.161.215.224;2a01:4ff:f4:a3dd::1;17000;https://5.161.215.224
M17-JWG;;ABCDFGHIJKLMNOPQRSTUVWXYZ;;67.175.64.113;;17000;https://m17.jwgtechs.com
M17-KCW;;ABCD;;172.234.217.28;;17000;http://m17.kansascitywide.com
M17-KOR;;ABCDEFG;;175.208.150.170;;17000;http://m17-kor.dvham.com
M17-KPH;;STUVWXYZ;;107.152.46.246;;17000;https://m17.kapihan.net
M17-KRD;;C;;77.66.180.214;;17000;http://m17-krd.keenetic.link:3000
M17-LEF;;ABCDEF;;77.68.25.66;2a00:da00:f22a:4f00::1;17000;https://xlxlef-dash.gb7hh.co.uk
M17-LGE;;ABCDEPW;;213.211.189.28;;17000;http://on6dp.no-ip.org:3000
M17-LIM;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;207.244.224.170;;17000;https://m17.pa7lim.nl/
M17-M17;1.1.1-dht;ABCDEFGHJIKLMNOPQRSTUVWXYZ;;107.191.121.105;2604:180:0:a0d::263c;17000;https://m17.openquad.net
M17-MEM;1.0.12-dht;BCWX;;99.94.135.115;;17000;
M17-MEX;;ABCDX;;201.137.92.177;;17000;https://m17.xe1e.net
M17-MJA;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;103.236.163.81;;17000;https://mja.vkradio.com/
M17-N18;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;144.76.12.90;;17000;http://dg3yjb.beba.re/M17Reflector/index.php
M17-NCA;0.12.0-dht;ABCD;;74.91.114.88;;17000;https://74.91.114.88
M17-NLD;;A;;51.83.46.75;;17000;http://51.83.46.75:39000
M17-NRG;;ABCX;;78.83.115.219;;17000;http://m17nrg.ddns.net
M17-NWR;;ABCDEF;;217.40.29.234;;17000;https://m17.nwrg.org.uk
M17-NZD;1.0.13-dht;ABCDEFGHIJK;;152.67.100.199;;17000;https://m17-nzd.dvnz.nz
M17-OAF;0.11.8-dht;ABCDEFGJIKLMNOPQRSTUVXYZ;ABCDEFGHIJKLMNOPQRSTUVWXYZ;152.67.9.13;;17000;http://m17.onirbanbd.com
M17-OBX;1.1.1-dht;ABCXYZ;;159.89.80.82;;17000;http://m17obx.duckdns.org
M17-OKL;;A;;3.208.70.29;;17000;https://www.oklahomalink.rcwa.org/m17ref/
M17-OMO;1.0.8-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;5.78.179.25;2a01:4ff:1f0:abd4::1;17000;https://ham.kimberlychase.com/m17
M17-PHP;1.0.10-dht;ABCDEFGHIJKLMNOPQRSTUVXYZ;;107.152.47.152;;17000;https://dx8wmg.ddns.net
M17-PLG;;ABH;;54.85.206.3;;17000;https://34.196.134.215/
M17-PNW;1.1.1-dht;ABC;;45.77.214.232;;17000;http://m17pnw.net/
M17-POR;;AC;;5.135.13.79;2001:41d0:303:2b83::2;17000;https://m17.hamradio.pt/
M17-PRT;;AC;;198.244.234.7;2001:41d0:801:2000::468f;17000;https://m17.hamradio.pt/
M17-QDR;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;158.180.80.27;;17000;http://dvref.duckdns.org:7017
M17-QRZ;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;46.59.68.211;;17002;http://qrz.cqnet.org:3002/#/
M17-RLX;0.12.0-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;212.227.105.8;;17000;http://m17-rlx.ddnsfree.com
M17-RUS;1.0.13-dht;BCRX;RX;217.197.197.129;;17000;https://m17ref.ogogon.org
M17-SAT;0.12.0-dht;ABC;;45.56.111.31;2600:3c03::2000:61ff:fe5d:8203;17000;https://m17-sat.n8hm.radio/
M17-SCS;0.12.0-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;45.77.119.250;2001:19f0:9002:2e9:5400:3ff:feb7:f72d;17000;http://m17-scarsvoip.com:3000
M17-SEL;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;66.42.93.25;;17000;https://selink.lmarc.net/m17dash
M17-SFI;1.0.10-dht;A;;45.79.74.165;2600:3c01::f03c:95ff:fed6:d440;17000;https://45.79.74.165/php-dash/index.php
M17-SLB;0.12.0-dht;ABCDEFGHIJKLMNOPQRSTUVXZ;;165.73.249.152;fe80::215:5dff:fed5:ba66;17000;https://m17-digitalvoice.dns.army
M17-SUN;;A;;155.138.244.192;;17000;https://kc5fm.ddns.net/m17ref/
M17-SVN;;ABCD;;193.77.82.184;;17000;http://m17.s5svet.si:17080
M17-SWD;0.12.0-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;45.32.239.121;2001:19f0:5001:e1c:5400:3ff:fe80:c8da;17000;http://m17swd.swdg.net:3000
M17-TUR;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;OPQRSTUVWXYZ;158.180.49.169;;17000;https://2861.adn.systems
M17-TWN;;C;;114.34.207.164;;17000;https://m17twn.ddns.net
M17-UAX;;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;178.136.97.107;;17000;http://m17.qrz.od.ua:3000
M17-USA;1.1.1-dht;ABCDEFGJIKLMNOPQRSTUVXYZ;;68.183.158.152;2604:a880:800:14:0:1:7a4c:5000;17000;https://m17.w1wra.net
M17-UT0;;ABCD;;164.92.99.19;;17000;
M17-WAL;0.12.0-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;;192.248.172.148;2a05:f480:1000:80e:5400:3ff:fe7b:69f5;17000;http://m17wal.swdg.net:3000
M17-WWR;;ABCD;;104.238.145.198;2001:19f0:6402:8d3:5400:4ff:fe7c:8dac;17000;http://104.238.145.198
M17-XOR;;ABCT;;138.199.236.169;;17000;
M17-YAI;;ABCDO;;203.138.145.124;;17000;https://m17-yai.ja3yai.club/
M17-YEG;0.12.0-dht;ABCDEFGHIJ;;219.117.204.205;;17000;http://jh1blt.net:3000/
URF045;;AE;AE;70.44.20.24;;17000;http://urf045.pennlinkgroup.com:8082/urfd/
URF097;3.1.4-dht;ABCDEFGHI;B;140.82.24.7;;17000;http://urf097.newenglanddigitalradio.com
URF181;3.1.4-dht;ABC;A;174.137.23.148;;17000;http://na9vy.us:44
URF239;;AB;AB;67.220.71.98;;17000;https://urf239.whocaresradio.com
URF259;;A;A;67.220.71.98;;17000;https://urf259.whocaresradio.com
URF269;3.1.4-dht;ACK;A;44.31.0.6;;17000;https://urf269.26269.de
URF306;3.1.4-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;A;103.1.187.251;;17000;http://urf306.warg.org.au/
URF307;2.8.6-dht;ABCDW;ACW;72.21.76.154;2001:470:4b:e0::307;17000;https://xlx307.ddns.net/
URF363;3.2.1-dht;AFSZ;FS;212.88.159.19;;17000;https://urf363.merg.biz
URF386;;B;B;52.176.210.10;;17000;https://xlx.foxhole.radio
URF399;;A;A;82.66.121.200;;17000;https://francemultiprotocole.fr
URF420;3.1.4-dht;ADMSZ;E;67.221.60.180;;17000;https://xlx.chromatel.com
URF421;3.1.4-dht;DT;D;152.53.85.93;;17000;https://urf.dl-nordwest.com
URF478;3.1.4-dht;ABCD;ABC;35.232.151.255;;17000;https://hamvillage.org/
URF517;2.8.6-dht;ABCDEXYZ;A;67.212.42.234;2a00:edc0:107::1;17000;http://67.212.42.234
URF550;3.1.4-dht;ABC;ABC;70.35.200.63;;17000;https://urf550.hanafarm.biz
URF587;2.8.6-dht;ACHM;ACH;104.8.207.66;;17000;https://https://xlx587.openquad.net
URF621;;A;A;50.37.125.76;;17000;https://urf.hrcc.link/
URF668;3.1.4-dht;ABCDEZ;A;99.198.100.8;2001:470:c236:1::8;17000;https://urf.n9hxr.radio
URF718;3.1.4-dht;BE;BE;66.45.238.67;;17017;
URF760;;A;A;47.39.85.152;;17000;http://xlx760.ddns.net
URF847;;A;A;98.171.104.209;;17000;https://chandlerhams.org/reflector
URF902;;M;;45.42.215.8;;17000;http://urfd.dvswitch.org/urf
URF911;;MX;X;64.223.154.42;2001:470:8838:10::1002;17000;https://urf911.dvref.com
URF914;;A;A;47.156.44.132;;17000;http://47.156.44.132/
URF921;3.1.4-dht;ABCDEFG;ABC;89.240.4.99;;17000;http://urf001.cumbriacq.com/urf
URF925;2.8.6-dht;ABCDI;ABCDI;185.26.243.94;;17000;https://xlx925.hopto.org/
URF969;;AMZ;AZ;184.55.34.255;;17000;http://urf.k0cks.com
URF994;3.1.4-dht;ADMSY;A;45.32.181.77;2001:19f0:7401:8d8c:5400:5ff:fedc:7b57;17000;https://urf994.ddns.net
URFBAT;3.1.4-dht;ABCEHT;ABE;44.31.102.133;;17017;http://aritrani.does-it.net/urf/index.php
URFBTT;;A;A;82.85.236.36;;17000;
URFCIS;;A;A;91.92.136.92;;17000;http://91.92.136.92/urfd/
URFCL1;;A;;181.190.38.58;;17000;https://m17.radioaficion.pro/
URFDDC;;D;D;79.53.244.148;;17000;http://iz7ddc.duckdns.org/urf/
URFEUS;;A;A;88.9.253.204;;17000;https://eus.ham-radio-op.net
URFIND;3.1.4-dht;ABCDEFGHI;ABC;174.137.23.148;;17000;http://na9vy.us:46
URFITA;3.1.4-dht;ABCET;ACT;44.31.102.138;;17000;https://urfita.freedmr.it
URFITM;3.1.4-dht;ABCDEFGHIJKLMNOPQRSTUVWXYZ;C;46.226.178.86;;17000;http://46.226.178.86
URFLAN;;AD;AD;82.68.53.241;;17000;http://xlx.g6phf.co.uk
URFM17;;B;B;45.79.204.38;;17000;http://XLXServer.duckdns.org
URFOKA;3.1.4-dht;A;A;155.138.236.64;;17000;http://155.138.236.64/urf/dashboard/
URFPAW;3.1.4-dht;ABC;ABC;216.128.141.250;;17000;https://urfpaw.11cats.org
URFPRC;;A;A;120.197.207.2;;17000;http://urf.fmrs.cn:73
URFSCP;3.1.3-dht;ABCDEFT;T;44.31.102.149;;17000;https://urp.iv3scp.it
URFSIN;3.1.4-dht;ABC;ABC;64.112.234.163;;17000;http://xlx.w9winxlx.us
URFTBR;;A;A;49.204.232.83;;17000;https://ysfindia.ddns.net
URFTRK;;AB;AB;5.175.136.63;;17000;http://tur.pistar.com.tr:8088
URFURU;;B;B;198.245.55.26;;17000;http://uruguaynet.2mydns.net
