# M17 Hosts file generated by ./make-m17-host-file V#1.0.0
# Copyright (C) 2024 by Thomas A. Early, N7TAE.
# See the LICENSE file in https://github.com/n7tae/dht-ham-tools.
# Created on 06-01-2025 at 12:52 GMT
# Copied https://dvref.com/mrefd/json/?format=json
# Copied https://dvref.com/urfd/json/?format=json
# A null 'IPv4Address' or 'IPv6Address' means it's not configured.
# A null 'Modules' means it can't be determined.
#
# 'SpecialModules' for M17 reflectors will pass encrypted voice data.
# 'SpecialModules' for URF reflectors are fully transcoded.
#
# A null 'SpecialModules' value can mean either:
#   1) If 'Modules' is null, it can't be determined, or,
#   2) if 'Modules' is NOT null, there are no special modules.
#
#Refl   IPv4Address     IPv6Address                             Modules                    SpecialModules             Port   Source    
M17-AND 141.94.206.232  null                                    null                       null                       17000  dvref.com 
M17-AP2 58.65.136.202   null                                    null                       null                       17000  dvref.com 
M17-ARC 167.179.91.150  null                                    null                       null                       17000  dvref.com 
M17-ARG 152.170.70.57   null                                    null                       null                       17000  dvref.com 
M17-ASL 44.134.32.13    null                                    null                       null                       17000  dvref.com 
M17-AUT 195.26.215.3    null                                    null                       null                       17000  dvref.com 
M17-BAT 62.84.190.249   null                                    BE                         null                       17000  Ham-DHT   
M17-BEL 173.212.223.187 null                                    null                       null                       17000  dvref.com 
M17-BRA 35.198.35.247   null                                    null                       null                       17000  dvref.com 
M17-BRO 68.37.44.22     null                                    null                       null                       17000  dvref.com 
M17-BTT 82.85.236.36    null                                    B                          null                       17000  Ham-DHT   
M17-CAD 166.48.140.139  null                                    null                       null                       17000  dvref.com 
M17-CAN 45.72.192.110   null                                    null                       null                       17000  dvref.com 
M17-CAS 89.36.222.146   null                                    null                       null                       17000  dvref.com 
M17-CAT 172.104.140.230 null                                    null                       null                       17000  dvref.com 
M17-CCV 116.91.197.3    null                                    null                       null                       17000  dvref.com 
M17-CEL 85.215.198.111  null                                    BCX                        null                       17000  Ham-DHT   
M17-CHI 212.237.33.114  null                                    null                       null                       17000  dvref.com 
M17-CHP 104.218.221.46  null                                    null                       null                       17000  dvref.com 
M17-CL1 190.54.137.189  null                                    null                       null                       17000  dvref.com 
M17-CLB 158.101.96.102  2603:c020:4006:8e00:7921:660f:c26d:b713 null                       null                       17000  dvref.com 
M17-COR 89.234.155.8    null                                    null                       null                       17000  dvref.com 
M17-CQM 13.59.123.174   null                                    null                       null                       17000  dvref.com 
M17-CSR 164.132.58.167  null                                    null                       null                       17000  dvref.com 
